X,A* DH=6,A* cache ES
1105,5367.0,5246.0
1106,5374.0,5255.0
1107,5388.0,5268.0
1108,5391.0,5277.0
1109,5411.0,5283.0
1110,5414.0,5298.0
1111,5458.0,5312.0
1112,5471.0,5358.0
1113,5474.0,5363.0
1114,5482.0,5375.0
1115,5489.0,5397.0
1116,5533.0,5402.0
1117,5591.0,5444.0
1118,5597.0,5472.0
1119,5615.0,5505.0
1120,5621.0,5542.0
1121,5635.0,5574.0
1122,5671.0,5575.0
1123,5680.0,5603.0
1124,5694.0,5604.0
1125,5713.0,5610.0
1126,5720.0,5614.0
1127,5725.0,5650.0
1128,5747.0,5660.0
1129,5755.0,5681.0
1130,5772.0,5709.0
1131,5785.0,5710.0
1132,5805.0,5717.0
1133,5861.0,5722.0
1134,5881.0,5740.0
1135,5929.0,5745.0
1136,5935.0,5803.0
1137,5955.0,5803.0
1138,5976.0,5820.0
1139,5998.0,5847.0
1140,6000.0,5869.0
1141,6004.0,5871.0
1142,6039.0,5877.0
1143,6065.0,5944.0
1144,6154.0,5946.0
1145,6193.0,5986.0
1146,6203.0,5994.0
1147,6262.0,6049.0
1148,6266.0,6068.0
1149,6269.0,6121.0
1150,6273.0,6151.0
1151,6286.0,6169.0
1152,6324.0,6241.0
1153,6338.0,6250.0
1154,6554.0,6273.0
1155,6596.0,6330.0
1156,6619.0,6359.0
1157,6648.0,6383.0
1158,6673.0,6397.0
1159,6687.0,6443.0
1160,6723.0,6496.0
1161,6732.0,6530.0
1162,6784.0,6575.0
1163,6785.0,6710.0
1164,6884.0,6814.0
1165,6929.0,6871.0
1166,6978.0,6890.0
1167,7058.0,7022.0
1168,7112.0,7072.0
1169,7159.0,7222.0
1170,7307.0,7552.0
1171,7380.0,7607.0
1172,7644.0,7612.0
1173,7705.0,7663.0
1174,7853.0,7810.0
1175,8054.0,8141.0
1176,8102.0,8264.0
1177,8240.0,8443.0
1178,8859.0,8581.0
1179,9065.0,8587.0
